Nombre,Fecha de Graduacion,Fecha de Matrimonio,Fecha de Ganancia de Loteria,Fecha de Muerte,Estado,Fecha de Nacimiento
Juanita Pereira Córdoba,12/10/1995,27/05/2001,09/06/2010, ,Vivo,19/05/1951
Eufemia Nydia Casado Padilla,07/07/2014,05/08/2008,21/12/2015, ,Vivo,30/04/1969
Carlos Duran,09/07/1991,12/12/2018,25/03/2003,07/08/2019,Muerto,29/03/1994
Flavia Madrid-Requena,25/10/2009,24/10/2019,09/11/2018, ,Vivo,28/08/2000
Lorenzo Anaya,24/03/2003,27/07/2008,20/05/2012, ,Vivo,27/04/1943
Soraya Berrocal Pi,27/05/2003,09/08/2009,09/03/2009, ,Vivo,06/11/1986
Raúl Chuy Canals Samper,20/01/2007,11/06/2010,13/01/2013, ,Vivo,18/09/1940
Selena Palomino Sanjuan,22/03/2015,27/10/2004,26/11/2003, ,Vivo,14/01/1992
Rodrigo Bermejo Herrera,05/03/1989,14/06/1990,01/05/2005,02/04/2019,Muerto,12/10/1987
Paola Manuelita Gordillo Puig,19/02/2010,20/03/2022,20/03/2006, ,Vivo,17/07/1958
Lucía Aranda Gascón,01/05/1994,26/02/2023,22/09/2005, ,Vivo,10/07/1971
Violeta Osorio Múgica,10/01/2018,22/10/2001,14/12/2013, ,Vivo,11/12/1971
Albino Baños Roma,23/05/1982,06/06/2022,09/06/2001,12/11/2014,Muerto,28/11/1972
Anabel Chamorro,11/08/1980,06/02/2004,05/10/2002, ,Vivo,04/12/1957
Jose Carlos Alegria-Jurado,22/04/2016,23/08/2000,16/07/2012, ,Vivo,07/05/1951
Rubén Pineda Morán,17/10/1983,10/06/1994,28/11/2018,12/07/2010,Muerto,06/08/1964
Saturnina Carrera Ferrando,13/01/2000,07/11/2010,04/11/2011,19/12/2020,Muerto,21/12/1969
Gertrudis Ariño Barrena,11/05/1998,26/07/2011,11/04/2016,05/06/2016,Muerto,30/09/1943
Horacio Salmerón Pedraza,20/08/2020,15/05/2008,24/09/2025, ,Vivo,15/12/1976
Marisol Tenorio,13/09/2020,21/01/2008,19/02/2004, ,Vivo,09/05/1964
